ID,set,question,answer,score
0,Q2,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B ความละเอียดควรเป็นอะไรระยะเวลาการระบุแหล่งที่มาควรเป็นเท่าไหร่จงอธิบายเหตุผล,"ความละเอียดควรจะมีค่าต่ำเพราะว่าเราต้องการทราบว่าผู้ใช้โดยรวมจะคลิกโฆษณามากขึ้นหรือไม่ไม่ได้ต้องการทราบการเปลี่ยนแปลงของแต่ละบุคคล
ระยะเวลาการระบุแหล่งที่มาควรจะยาว (ประมาณ 30 วัน) เพราะว่าอาจจะมีกรณีที่ผู้ใช้ไม่คุ้นเคยกับตำแน่งใหม่ซึ่งอาจทำให้ข้อมูลที่ได้ไม่มีความเที่ยงตรง",0.0
1,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,เห็นด้วยผู้ใช้และมีการตรวจสอบจากการคลิกโฆษณาดังนั้นจึงมีความเป็นไปได้ 2 กรณีคลิกหรือไม่คลิกเท่านั้น,5.0
2,Q2,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B ความละเอียดควรเป็นอะไรระยะเวลาการระบุแหล่งที่มาควรเป็นเท่าไหร่จงอธิบายเหตุผล,"Granularity ควรเป็น #checkout Events/ #Cookies เพราะต้องการดูว่าคนคนนึงคลิกกี่รอบ Cookie จะทำให้ได้คนเดียวกันไม่เข้าสู่ระบบ
ระยะเวลาการระบุแหล่งที่มาประมาณ 2 วันดังนั้นก็ต้องเผื่อเวลาให้ดังนั้นก็ต้องเผื่อเวลาให้ดังนั้นก็ต้องเผื่อเวลาให้ดังนั้นก็ต้องเผื่อเวลาให้เจอสินค้าที่ถูกใจด้วยเจอสินค้าที่ถูกใจด้วยเจอสินค้าที่ถูกใจด้วยเจอสินค้าที่ถูกใจด้วย",5.0
3,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,"เห็นด้วย x ~ binomial (n, p) โดย p เป็นอัตราส่วนที่ผู้ใช้คลิกโฆษณาสามารถทดสอบว่า p_treatment> p_control หรือไม่",2.0
4,Q1,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B อธิบายเหตุผลที่แฮมทาโร่ควรใช้ A/B ทดสอบในการทดสอบพร้อมกับอธิบายเหตุผลพร้อมกับอธิบายเหตุผล,การทดสอบ A/B A/B เป็นวิธีที่มีประสิทธิภาพในการวัดผลของการเปลี่ยนแปลงที่น่าสนใจระหว่างสองตัวเลือก (A และ B) โดยที่ไม่มีตัวแปรอื่นที่ส่งผลกระทบการทดสอบ A/B จึงช่วยให้สามารถวัดผลได้อย่างชัดเจนและทันทีว่าการเปลี่ยนตําแหน่งโฆษณานั้นมีผลต่อยอดขายหรือไม่จึงช่วยให้สามารถวัดผลได้อย่างชัดเจนและทันทีว่าการเปลี่ยนตําแหน่งโฆษณานั้นมีผลต่อยอดขายหรือไม่,4.5
5,Q1,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B อธิบายเหตุผลที่แฮมทาโร่ควรใช้ A/B ทดสอบในการทดสอบพร้อมกับอธิบายเหตุผลพร้อมกับอธิบายเหตุผล,การทดสอบ A/B A/B ในการทดสอบ A/B ทดสอบช่วยให้เห็นถึงความแตกต่างของยอดขายระหว่างการย้ายตำแหน่งกับไม่ย้ายตำแหน่งของโฆษณาได้พร้อมๆกัน,1.0
6,Q2,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B ความละเอียดควรเป็นอะไรระยะเวลาการระบุแหล่งที่มาควรเป็นเท่าไหร่จงอธิบายเหตุผล,"การคลิกเข้าโฆษณาและ
ระยะเวลาที่มาเป็น 1 วัน
เพราะทำให้ทราบได้ว่ามีผู้ชมสนใจคลิกเข้าดูโฆษณาเทียบจากจำนวนคนดูทั้งหมดเป็นเท่าใด",4.0
7,Q2,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B ความละเอียดควรเป็นอะไรระยะเวลาการระบุแหล่งที่มาควรเป็นเท่าไหร่จงอธิบายเหตุผล,ความละเอียดใน A/B การทดสอบเกี่ยวกับการย้ายตำแหน่งโฆษณาบน hamtube หมายถึงการเลือกตั้งค่าการวัดผลเช่นระยะเวลาการระบุแหล่งที่มาคือระยะเวลาการระบุแหล่งที่มาควรถูกตั้งค่าให้เหมาะสมกับลักษณะธุรกิจและผลิตภัณฑ์ 7 วันหรือ 30 วันเพื่อให้ได้ข้อมูลที่สมบูรณ์แบบและเปรียบเทียบผลลัพธ์อย่างมีประสิทธิภาพเพื่อให้ได้ข้อมูลที่สมบูรณ์แบบและเปรียบเทียบผลลัพธ์อย่างมีประสิทธิภาพเพื่อให้ได้ข้อมูลที่สมบูรณ์แบบและเปรียบเทียบผลลัพธ์อย่างมีประสิทธิภาพ,0.0
8,Q1,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B อธิบายเหตุผลที่แฮมทาโร่ควรใช้ A/B ทดสอบในการทดสอบพร้อมกับอธิบายเหตุผลพร้อมกับอธิบายเหตุผล,การทดสอบ A/B A/B เป็นการเปรียบเทียบผลที่เกิดขึ้นจากการเปลี่ยนแปลงเพียง 1 อย่าง A/B ทดสอบจึงเป็นวิธีที่เหมาะสมในการทดลอง,1.0
9,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่าและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,"แบบ 50/50 เก็บตัวอย่างครบได้รวดเร็วผู้ใช้ได้ครึ่งหนึ่งเลยเช่นกัน
แบบสัดส่วน 80/20 การเปลี่ยนจะกระทบผู้ใช้จำนวนน้อยผลกระทบตัวแพลตฟอร์มมากแต่ก็ทำให้เก็บจำนวนตัวอย่างช้าเช่นกัน
สำหรับ hamtube ผมคิดว่าการเปลี่ยนตำแหน่งของโฆษณาผู้ใช้ที่ใช้ดูวีดีโอมากขนาดนั้น hamtube มีการแบ่งรายได้ให้กับผู้ใช้ที่อัปโหลดวีดีโอการทดลองนี้ก็อาจจะไปกระทบพวกเขาได้
ถ้าไม่ได้มีการแบ่ง 50/50 เพื่อเก็บตัวอย่างได้รวดเร็วเลยถ้ามีผมก็คิดว่าทำ 50/50 เหมือนเดิมเพราะถ้าเก็บตัวอย่างได้เร็วก็สามารถตัดสินใจได้เร็วเช่นกัน",5.0
