ID,set,question,answer,score
0,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","Granularity should be low. Because we want to know if the overall user will click more advertisements or not Did not want to know the changes of each individual
Attribution Period should be long (about 30 days) because there may be cases that users are not familiar with the new position. Causing unintentionally to press inadvertently in the first period Which may cause information that is not accurate",0.0
1,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?","Agree because it is a data collection from many users and has been checked by Click ADS, so there are only two cases: Click or Not Click.",5.0
2,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","Granularity should be #Checkout Events/ #Cookies because you want to see how many people click. Cookie will make the same person. And can be used for non -login
Attribution Period for about 2 days because not every product that we are interested in Therefore, it must be time for the user to find the product you like.",5.0
3,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?","Agree x ~ binomial (n, p). P) is the ratio that the User Click AD can test whether P_Treatment> P_Control or not.",2.0
4,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Agree because the A/B Testing test is an effective way to measure the interesting changes between the two options (A and B) without any other variables that affect Which is in line with the case of Ham Taro, who wants to test the advertising position, using A/B Testing, so it can be clearly measured and immediately whether the advertising position has an effect on sales or not.",4.5
5,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason",Ham Taro should use A/B Testing for testing because A/B Test helps to see the differences in sales during the move. And not moving the position of the advertisement at the same time,1.0
6,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","Clicking on advertising and overall admission
Attribution Period is 1 day.
Because it can be known that the audience is interested, click to see the advertisement compared from the total number of viewers",4.0
7,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","Granularity in A/B Testing about moving advertising positions on Hamtube means an election for measuring values, such as clicking on an important level. Attribution Period is the time specified for users' activities after seeing the length of Attribution Period should be set to suit the business and the product, such as 7 days, to provide complete and effective data comparison.",0.0
8,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Because A/B Testing is a comparison of only 1 result of change, which is in this case The position of the advertisement A/B Testing is therefore the right way to experiment.",1.0
9,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50, quickly collected the sample But the problem that may arise from the new type of trial will affect the user half as well.
The proportion of 80/20 The change will affect the number of User, not a very impact, the platform. Make it safer But also collecting the number of samples slowly as well
For Hamtube, I think the change of advertising position Does not affect the User that is used to watch the video that much, but if Hamtube has divided revenue with the User Video Up This experiment may affect them.
If not divided I think that the 50/50 types are divided to collect samples quickly. To make the business make more profit Will be a good choice for investors who want to see the business grow quickly If I have, I think I do 50/50 as before, because if I can collect the sample quickly Can decide quickly as well",5.0
